package,version,released,eol
akeneo-pim,7.0.76,2024-12-12,2026-09-30
akeneo-pim,6.0.113,2024-10-08,2023-09-30
akeneo-pim,5.0.120,2023-02-08,2022-09-30
akeneo-pim,4.0.126,2021-11-16,2021-08-31
akeneo-pim,3.2.84,2021-05-17,2021-05-31
akeneo-pim,3.1.18,2019-08-06,2019-07-20
akeneo-pim,3.0.84,2020-08-19,2020-08-31
akeneo-pim,2.0.52,2019-04-23,2019-04-30
akeneo-pim,1.7.41,2019-04-04,2019-04-30
akeneo-pim,1.6.23,2018-04-03,2018-03-31
akeneo-pim,1.5.27,2017-09-22,2017-09-30
akeneo-pim,1.4.28,2016-12-13,2017-03-31
akeneo-pim,1.3.41,2016-04-01,2016-09-30
akeneo-pim,1.2.37,2015-08-18,2015-08-18
akeneo-pim,1.1.3,2014-07-22,2014-07-22
akeneo-pim,1.0.3,2014-03-27,2016-03-31
alibaba-dragonwell,21.0.5.0.5+9,2024-11-18,2029-11-30
alibaba-dragonwell,17.0.13.0.14+9,2024-11-18,2027-09-30
alibaba-dragonwell,11.0.25.21,2024-11-18,2027-09-30
alibaba-dragonwell,8.23.22,2024-11-18,2026-06-30
almalinux,9.5,2024-11-18,2032-05-31
almalinux,8.10,2024-05-28,2029-03-01
alpine,3.21.0,2024-12-05,2026-11-01
alpine,3.20.3,2024-09-06,2026-04-01
alpine,3.19.4,2024-09-06,2025-11-01
alpine,3.18.9,2024-09-06,2025-05-09
alpine,3.17.10,2024-09-06,2024-11-22
alpine,3.16.9,2024-01-26,2024-05-23
alpine,3.15.11,2023-11-30,2023-11-01
alpine,3.14.10,2023-03-29,2023-05-01
alpine,3.13.12,2022-08-09,2022-11-01
alpine,3.12.12,2022-04-04,2022-05-01
alpine,3.11.13,2021-11-12,2021-11-01
alpine,3.10.9,2021-04-14,2021-05-01
alpine,3.9.6,2020-04-23,2020-11-01
alpine,3.8.5,2020-01-23,2020-05-01
alpine,3.7.3,2019-03-06,2019-11-01
amazon-cdk,2.173.2,2024-12-17,false
amazon-corretto,23.0.1.8.1,2024-10-16,2025-04-30
amazon-corretto,22.0.2.9.1,2024-07-16,2024-10-15
amazon-corretto,21.0.5.11.1,2024-10-16,2030-10-31
amazon-corretto,20.0.2.10.1,2023-08-23,2023-10-17
amazon-corretto,19.0.2.7.1,2023-01-17,2023-04-19
amazon-corretto,18.0.2.9.1,2022-07-19,2022-10-18
amazon-corretto,17.0.13.11.1,2024-10-16,2029-10-31
amazon-corretto,16.0.2.7.1,2022-04-19,2021-10-19
amazon-corretto,15.0.2.7.1,2021-01-22,2021-04-20
amazon-corretto,11.0.25.9.1,2024-10-16,2032-01-31
amazon-corretto,8.432.06.1,2024-10-16,2030-12-31
amazon-eks,1.31-eks-12,2024-11-15,2025-11-26
amazon-eks,1.30-eks-20,2024-11-15,2025-07-23
